om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt,edat,etime
2502130006-01,2025,02,13,2025-02-13,00:06:00,3,AL,01,0,50.0000,0,0,0,0,32.1200,-86.3500,32.1200,-86.3500,0,0,0,0,0,101,0,0,0,EG,2025-02-13,00:14:00
2502130035-01,2025,02,13,2025-02-13,00:35:00,3,AL,01,0,52.0000,0,0,0,0,32.6400,-85.3700,32.6400,-85.3700,0,0,0,0,0,81,0,0,0,EG,2025-02-13,00:45:00
2502130155-01,2025,02,13,2025-02-13,01:55:00,3,AL,01,0,52.0000,0,0,0,0,32.2979,-85.0070,32.2979,-85.0070,0,0,0,0,0,113,0,0,0,EG,2025-02-13,01:56:00
2502130305-01,2025,02,13,2025-02-13,03:05:00,3,AL,01,0,50.0000,0,0,0,0,31.2700,-85.8800,31.2700,-85.8800,0,0,0,0,0,31,0,0,0,EG,2025-02-13,03:05:00
2502130350-01,2025,02,13,2025-02-13,03:50:00,3,AL,01,0,50.0000,0,0,2000,0,31.0200,-85.7400,31.0200,-85.7400,0,0,0,0,0,61,0,0,0,EG,2025-02-13,03:50:00
2502130440-01,2025,02,13,2025-02-13,04:40:00,3,GA,13,0,50.0000,0,0,5000,0,31.3700,-84.9300,31.3700,-84.9300,0,0,0,0,0,99,0,0,0,EG,2025-02-13,04:40:00
2502130716-01,2025,02,13,2025-02-13,07:16:00,3,CA,06,0,26.0000,0,0,10,0,36.5900,-121.9200,36.5900,-121.9200,0,0,0,0,0,53,0,0,0,EG,2025-02-13,07:16:00
2502131710-01,2025,02,13,2025-02-13,17:10:00,3,CA,06,0,52.0000,0,0,0,0,34.3242,-118.5842,34.3242,-118.5842,0,0,0,0,0,111,0,0,0,MG,2025-02-13,17:12:00
2502131710-02,2025,02,13,2025-02-13,17:10:00,3,CA,06,0,57.0000,0,0,0,0,34.3548,-118.4598,34.3548,-118.4598,0,0,0,0,0,37,0,0,0,MG,2025-02-13,17:12:00
2502131710-03,2025,02,13,2025-02-13,17:10:00,3,CA,06,0,60.0000,0,0,0,0,34.4995,-118.0995,34.4995,-118.0995,0,0,0,0,0,37,0,0,0,MG,2025-02-13,17:12:00
2502131730-01,2025,02,13,2025-02-13,17:30:00,3,CA,06,0,64.0000,0,0,0,0,34.7626,-119.0673,34.7626,-119.0673,0,0,0,0,0,111,0,0,0,MG,2025-02-13,17:32:00
2502131740-01,2025,02,13,2025-02-13,17:40:00,3,CA,06,0,67.0000,0,0,0,0,34.3870,-118.3391,34.3870,-118.3391,0,0,0,0,0,37,0,0,0,MG,2025-02-13,17:42:00
2502131740-02,2025,02,13,2025-02-13,17:40:00,3,CA,06,0,53.0000,0,0,0,0,34.2544,-118.9344,34.2544,-118.9344,0,0,0,0,0,111,0,0,0,MG,2025-02-13,17:42:00
2502141815-01,2025,02,14,2025-02-14,18:15:00,3,NV,32,0,60.0000,0,0,0,0,37.1515,-116.3952,37.1515,-116.3952,0,0,0,0,0,23,0,0,0,MG,2025-02-14,18:15:00
2502141900-01,2025,02,14,2025-02-14,19:00:00,3,NV,32,0,50.0000,0,0,0,0,36.8523,-116.4664,36.8523,-116.4664,0,0,0,0,0,23,0,0,0,MG,2025-02-14,19:00:00
2502151731-01,2025,02,15,2025-02-15,17:31:00,3,AR,05,0,50.0000,0,0,10000,0,35.5200,-90.4300,35.5200,-90.4300,0,0,0,0,0,111,0,0,0,EG,2025-02-15,17:36:00
2502151844-01,2025,02,15,2025-02-15,18:44:00,3,TN,47,0,70.0000,0,0,5000,0,36.0200,-89.2440,36.0190,-89.2390,0,0,0,0,0,45,0,0,0,EG,2025-02-15,18:49:00
2502151848-01,2025,02,15,2025-02-15,18:48:00,3,TN,47,0,50.0000,0,0,500,0,35.1600,-90.0000,35.1600,-90.0000,0,0,0,0,0,157,0,0,0,EG,2025-02-15,18:53:00
2502151852-01,2025,02,15,2025-02-15,18:52:00,3,TN,47,0,50.0000,0,0,0,0,35.2000,-89.7800,35.2000,-89.7800,0,0,0,0,0,157,0,0,0,EG,2025-02-15,18:57:00
2502151900-01,2025,02,15,2025-02-15,19:00:00,3,LA,22,0,52.0000,0,0,0,0,32.4300,-91.4200,32.4300,-91.4200,0,0,0,0,0,65,0,0,0,EG,2025-02-15,19:00:00
2502151910-01,2025,02,15,2025-02-15,19:10:00,3,TN,47,0,50.0000,0,0,2500,0,36.1500,-88.8000,36.1500,-88.8000,0,0,0,0,0,183,0,0,0,EG,2025-02-15,19:15:00
2502151920-01,2025,02,15,2025-02-15,19:20:00,3,TN,47,0,50.0000,0,0,10000,0,35.9000,-88.9300,35.9000,-88.9300,0,0,0,0,0,53,0,0,0,EG,2025-02-15,19:25:00
2502151921-01,2025,02,15,2025-02-15,19:21:00,3,LA,22,0,55.0000,0,0,4000,0,32.6786,-91.1898,32.6786,-91.1898,0,0,0,0,0,35,0,0,0,EG,2025-02-15,19:21:00
